age,sex,date,state,ethnicity,population
45-49,female,2020-01-01,Kedah,bumi_malay,45.0
50-54,female,2020-01-01,Kedah,bumi_malay,43.4
55-59,female,2020-01-01,Kedah,bumi_malay,39.6
60-64,female,2020-01-01,Kedah,bumi_malay,34.7
65-69,female,2020-01-01,Kedah,bumi_malay,26.9
70-74,female,2020-01-01,Kedah,bumi_malay,18.3
75-79,female,2020-01-01,Kedah,bumi_malay,11.3
80-84,female,2020-01-01,Kedah,bumi_malay,7.7
85+,female,2020-01-01,Kedah,bumi_malay,4.8
overall_age,overall_sex,2020-01-01,Kelantan,bumi_malay,1671.4
0-4,overall_sex,2020-01-01,Kelantan,bumi_malay,165.2
5-9,overall_sex,2020-01-01,Kelantan,bumi_malay,177.3
10-14,overall_sex,2020-01-01,Kelantan,bumi_malay,169.8
15-19,overall_sex,2020-01-01,Kelantan,bumi_malay,198.5
20-24,overall_sex,2020-01-01,Kelantan,bumi_malay,160.1
25-29,overall_sex,2020-01-01,Kelantan,bumi_malay,118.4
30-34,overall_sex,2020-01-01,Kelantan,bumi_malay,106.4
35-39,overall_sex,2020-01-01,Kelantan,bumi_malay,97.7
40-44,overall_sex,2020-01-01,Kelantan,bumi_malay,79.9
45-49,overall_sex,2020-01-01,Kelantan,bumi_malay,79.4
50-54,overall_sex,2020-01-01,Kelantan,bumi_malay,75.6
55-59,overall_sex,2020-01-01,Kelantan,bumi_malay,77.1
60-64,overall_sex,2020-01-01,Kelantan,bumi_malay,61.1
65-69,overall_sex,2020-01-01,Kelantan,bumi_malay,43.0
70-74,overall_sex,2020-01-01,Kelantan,bumi_malay,30.5
75-79,overall_sex,2020-01-01,Kelantan,bumi_malay,17.0
80-84,overall_sex,2020-01-01,Kelantan,bumi_malay,9.0
85+,overall_sex,2020-01-01,Kelantan,bumi_malay,5.2
overall_age,male,2020-01-01,Kelantan,bumi_malay,833.6
0-4,male,2020-01-01,Kelantan,bumi_malay,84.3
5-9,male,2020-01-01,Kelantan,bumi_malay,91.5
10-14,male,2020-01-01,Kelantan,bumi_malay,87.5
15-19,male,2020-01-01,Kelantan,bumi_malay,100.1
20-24,male,2020-01-01,Kelantan,bumi_malay,78.2
25-29,male,2020-01-01,Kelantan,bumi_malay,60.0
30-34,male,2020-01-01,Kelantan,bumi_malay,53.9
35-39,male,2020-01-01,Kelantan,bumi_malay,49.6
40-44,male,2020-01-01,Kelantan,bumi_malay,40.1
45-49,male,2020-01-01,Kelantan,bumi_malay,38.2
50-54,male,2020-01-01,Kelantan,bumi_malay,35.9
55-59,male,2020-01-01,Kelantan,bumi_malay,37.2
60-64,male,2020-01-01,Kelantan,bumi_malay,28.9
65-69,male,2020-01-01,Kelantan,bumi_malay,20.5
70-74,male,2020-01-01,Kelantan,bumi_malay,14.7
75-79,male,2020-01-01,Kelantan,bumi_malay,7.6
80-84,male,2020-01-01,Kelantan,bumi_malay,3.5
85+,male,2020-01-01,Kelantan,bumi_malay,1.9
overall_age,female,2020-01-01,Kelantan,bumi_malay,837.8
0-4,female,2020-01-01,Kelantan,bumi_malay,81.0
5-9,female,2020-01-01,Kelantan,bumi_malay,85.8
10-14,female,2020-01-01,Kelantan,bumi_malay,82.2
15-19,female,2020-01-01,Kelantan,bumi_malay,98.4
20-24,female,2020-01-01,Kelantan,bumi_malay,82.0
25-29,female,2020-01-01,Kelantan,bumi_malay,58.4
30-34,female,2020-01-01,Kelantan,bumi_malay,52.5
35-39,female,2020-01-01,Kelantan,bumi_malay,48.1
40-44,female,2020-01-01,Kelantan,bumi_malay,39.8
45-49,female,2020-01-01,Kelantan,bumi_malay,41.3
50-54,female,2020-01-01,Kelantan,bumi_malay,39.7
55-59,female,2020-01-01,Kelantan,bumi_malay,39.9
60-64,female,2020-01-01,Kelantan,bumi_malay,32.3
65-69,female,2020-01-01,Kelantan,bumi_malay,22.5
70-74,female,2020-01-01,Kelantan,bumi_malay,15.7
75-79,female,2020-01-01,Kelantan,bumi_malay,9.4
80-84,female,2020-01-01,Kelantan,bumi_malay,5.6
85+,female,2020-01-01,Kelantan,bumi_malay,3.3
overall_age,overall_sex,2020-01-01,Melaka,bumi_malay,653.9
0-4,overall_sex,2020-01-01,Melaka,bumi_malay,62.9
5-9,overall_sex,2020-01-01,Melaka,bumi_malay,63.3
10-14,overall_sex,2020-01-01,Melaka,bumi_malay,50.2
15-19,overall_sex,2020-01-01,Melaka,bumi_malay,77.1
20-24,overall_sex,2020-01-01,Melaka,bumi_malay,65.5
25-29,overall_sex,2020-01-01,Melaka,bumi_malay,53.3
30-34,overall_sex,2020-01-01,Melaka,bumi_malay,48.4
35-39,overall_sex,2020-01-01,Melaka,bumi_malay,47.3
40-44,overall_sex,2020-01-01,Melaka,bumi_malay,52.6
45-49,overall_sex,2020-01-01,Melaka,bumi_malay,28.1
50-54,overall_sex,2020-01-01,Melaka,bumi_malay,25.5
55-59,overall_sex,2020-01-01,Melaka,bumi_malay,25.7
60-64,overall_sex,2020-01-01,Melaka,bumi_malay,20.3
65-69,overall_sex,2020-01-01,Melaka,bumi_malay,15.5
70-74,overall_sex,2020-01-01,Melaka,bumi_malay,9.3
75-79,overall_sex,2020-01-01,Melaka,bumi_malay,4.6
80-84,overall_sex,2020-01-01,Melaka,bumi_malay,2.8
85+,overall_sex,2020-01-01,Melaka,bumi_malay,1.5
overall_age,male,2020-01-01,Melaka,bumi_malay,331.1
0-4,male,2020-01-01,Melaka,bumi_malay,32.6
5-9,male,2020-01-01,Melaka,bumi_malay,32.7
10-14,male,2020-01-01,Melaka,bumi_malay,26.2
15-19,male,2020-01-01,Melaka,bumi_malay,40.7
20-24,male,2020-01-01,Melaka,bumi_malay,33.8
25-29,male,2020-01-01,Melaka,bumi_malay,25.9
30-34,male,2020-01-01,Melaka,bumi_malay,24.6
35-39,male,2020-01-01,Melaka,bumi_malay,24.5
40-44,male,2020-01-01,Melaka,bumi_malay,26.5
45-49,male,2020-01-01,Melaka,bumi_malay,13.5
50-54,male,2020-01-01,Melaka,bumi_malay,12.3
55-59,male,2020-01-01,Melaka,bumi_malay,12.6
60-64,male,2020-01-01,Melaka,bumi_malay,9.9
65-69,male,2020-01-01,Melaka,bumi_malay,7.1
70-74,male,2020-01-01,Melaka,bumi_malay,4.4
75-79,male,2020-01-01,Melaka,bumi_malay,2.1
80-84,male,2020-01-01,Melaka,bumi_malay,1.1
85+,male,2020-01-01,Melaka,bumi_malay,0.6
overall_age,female,2020-01-01,Melaka,bumi_malay,322.8
0-4,female,2020-01-01,Melaka,bumi_malay,30.3
5-9,female,2020-01-01,Melaka,bumi_malay,30.5
10-14,female,2020-01-01,Melaka,bumi_malay,24.0
15-19,female,2020-01-01,Melaka,bumi_malay,36.4
20-24,female,2020-01-01,Melaka,bumi_malay,31.7
25-29,female,2020-01-01,Melaka,bumi_malay,27.4
30-34,female,2020-01-01,Melaka,bumi_malay,23.8
35-39,female,2020-01-01,Melaka,bumi_malay,22.8
40-44,female,2020-01-01,Melaka,bumi_malay,26.1
45-49,female,2020-01-01,Melaka,bumi_malay,14.5
50-54,female,2020-01-01,Melaka,bumi_malay,13.2
55-59,female,2020-01-01,Melaka,bumi_malay,13.2
60-64,female,2020-01-01,Melaka,bumi_malay,10.4
65-69,female,2020-01-01,Melaka,bumi_malay,8.3
70-74,female,2020-01-01,Melaka,bumi_malay,4.9
75-79,female,2020-01-01,Melaka,bumi_malay,2.5
80-84,female,2020-01-01,Melaka,bumi_malay,1.7
85+,female,2020-01-01,Melaka,bumi_malay,0.9
overall_age,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,693.3
0-4,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,60.7
5-9,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,71.4
10-14,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,58.4
15-19,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,62.7
20-24,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,61.1
25-29,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,56.6
30-34,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,60.6
35-39,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,56.0
40-44,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,41.7
45-49,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,34.4
50-54,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,29.9
55-59,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,34.6
60-64,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,25.5
65-69,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,19.8
70-74,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,10.9
75-79,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,4.8
80-84,overall_sex,2020-01-01,Negeri Sembilan,bumi_malay,2.9
